path,verdict,detail,samplerate,cutoff_hz,nyquist_hz,slope_db_per_khz
/home/adam/driveBig/Music/My Playlist/Kiss the Go-Goat - Ghost - Seven Inches of Satanic Panic.flac,CLEAN,content extends to 21296Hz (Nyquist 22050Hz) - looks genuine,44100,21296,22050,17.8
/home/adam/driveBig/Music/My Playlist/Kura Kura - Ado - Ado's Best Adobum.flac,CLEAN,content extends to 21436Hz (Nyquist 22050Hz) - looks genuine,44100,21436,22050,28.8
/home/adam/driveBig/Music/My Playlist/Lady Gay Approximately - Car Seat Headrest - The Scholars.flac,CLEAN,content extends to 21323Hz (Nyquist 22050Hz) - looks genuine,44100,21323,22050,19.8
/home/adam/driveBig/Music/My Playlist/James Brown - Cage The Elephant - Cage The Elephant.flac,CLEAN,content extends to 21248Hz (Nyquist 22050Hz) - looks genuine,44100,21248,22050,8.9
/home/adam/driveBig/Music/My Playlist/Kind of Sick of Life - BoyWithUke - Fever Dreams.flac,CLEAN,content extends to 21399Hz (Nyquist 22050Hz) - looks genuine,44100,21399,22050,9.2
/home/adam/driveBig/Music/My Playlist/Let ’Em Cry - Red Hot Chili Peppers - Unlimited Love.flac,CLEAN,content extends to 21199Hz (Nyquist 22050Hz) - looks genuine,44100,21199,22050,15.5
/home/adam/driveBig/Music/My Playlist/Letter for My Future Ex - BoyWithUke - BoyWithUke - B Sides.flac,CLEAN,content extends to 21393Hz (Nyquist 22050Hz) - looks genuine,44100,21393,22050,8
/home/adam/driveBig/Music/My Playlist/Long Line Of Cars - CAKE - Comfort Eagle.flac,CLEAN,content extends to 21399Hz (Nyquist 22050Hz) - looks genuine,44100,21399,22050,19.4
/home/adam/driveBig/Music/My Playlist/Lose You - Bully - Lucky for You.flac,CLEAN,content extends to 21479Hz (Nyquist 22050Hz) - looks genuine,44100,21479,22050,28.3
/home/adam/driveBig/Music/My Playlist/Lost Umbrella - 稲葉曇 - ANTICYCLONE.flac,CLEAN,content extends to 21189Hz (Nyquist 22050Hz) - looks genuine,44100,21189,22050,20.1
/home/adam/driveBig/Music/My Playlist/Love Lost - BoyWithUke - Burnout.flac,CLEAN,content extends to 21366Hz (Nyquist 22050Hz) - looks genuine,44100,21366,22050,15.6
/home/adam/driveBig/Music/My Playlist/Mailman - Soundgarden - Superunknown (Deluxe Edition).flac,CLEAN,content extends to 21312Hz (Nyquist 22050Hz) - looks genuine,44100,21312,22050,20.3
/home/adam/driveBig/Music/My Playlist/Migraine - Twenty One Pilots - Vessel.flac,CLEAN,content extends to 21248Hz (Nyquist 22050Hz) - looks genuine,44100,21248,22050,15.4
/home/adam/driveBig/Music/My Playlist/Mirtazapine - Hayley Williams - Ego Death at a Bachelorette Party.flac,CLEAN,content extends to 21372Hz (Nyquist 22050Hz) - looks genuine,44100,21372,22050,18.1
/home/adam/driveBig/Music/My Playlist/Minor Thing - Red Hot Chili Peppers - By the Way.flac,CLEAN,content extends to 21216Hz (Nyquist 22050Hz) - looks genuine,44100,21216,22050,15.8
/home/adam/driveBig/Music/My Playlist/Misguided Ghosts - Paramore - Brand New Eyes.flac,CLEAN,content extends to 21802Hz (Nyquist 22050Hz) - looks genuine,44100,21802,22050,1.9
/home/adam/driveBig/Music/My Playlist/Moon and Back - Jvke - This is What ____ Feels Like.flac,CLEAN,content extends to 21194Hz (Nyquist 22050Hz) - looks genuine,44100,21194,22050,16.5
/home/adam/driveBig/Music/My Playlist/Monster - The Automatic - Not Accepted Anywhere.flac,CLEAN,content extends to 21393Hz (Nyquist 22050Hz) - looks genuine,44100,21393,22050,30.5
/home/adam/driveBig/Music/My Playlist/My Iron Lung - Radiohead - The Bends.flac,CLEAN,content extends to 21334Hz (Nyquist 22050Hz) - looks genuine,44100,21334,22050,19.6
